song,band_singer,year,danceability,energy,valence,acousticness
Breathe,Faith Hill,1970-01-01 00:00:00.000002000,0.529,0.496,0.278,0.173
Smooth,Santana,1970-01-01 00:00:00.000002000,0.609,0.923,0.961,0.16
Smooth,Rob Thomas,1970-01-01 00:00:00.000002000,0.59,0.637,0.724,0.00225
Maria Maria,Santana,1970-01-01 00:00:00.000002000,0.777,0.601,0.68,0.0406
I Wanna Know,Joe,1970-01-01 00:00:00.000002000,0.725,0.487,0.599,0.26
Everything You Want,Vertical Horizon,1970-01-01 00:00:00.000002000,0.636,0.761,0.736,0.0517
I Knew I Loved You,Savage Garden,1970-01-01 00:00:00.000002000,0.61,0.497,0.739,0.32
Amazed,Lonestar,1970-01-01 00:00:00.000002000,0.561,0.543,0.243,0.26
Bent,Matchbox Twenty,1970-01-01 00:00:00.000002000,0.518,0.8300000000000001,0.527,0.0404
He Wasn't Man Enough,Toni Braxton,1970-01-01 00:00:00.000002000,0.739,0.947,0.766,0.00916
Higher,Creed,1970-01-01 00:00:00.000002000,0.459,0.8300000000000001,0.431,5.15e-05
Try Again,Aaliyah,1970-01-01 00:00:00.000002000,0.794,0.662,0.683,0.0789
Thong Song,Sisqó,1970-01-01 00:00:00.000002000,0.706,0.888,0.714,0.119
Kryptonite,3 Doors Down,1970-01-01 00:00:00.000002000,0.545,0.865,0.543,0.00664
There You Go,Pink,1970-01-01 00:00:00.000002000,0.242,0.891,0.515,0.00559
Music,Madonna,1970-01-01 00:00:00.000002000,0.736,0.802,0.871,0.00149
What a Girl Wants,Christina Aguilera,1970-01-01 00:00:00.000002000,0.754,0.8190000000000001,0.8180000000000001,0.0684
Back at One,Brian McKnight,1970-01-01 00:00:00.000002000,0.661,0.346,0.256,0.452
Bye Bye Bye,NSYNC,1970-01-01 00:00:00.000002000,0.61,0.926,0.861,0.031
You Sang to Me,Marc Anthony,1970-01-01 00:00:00.000002000,0.578,0.894,0.741,0.0103
I Need to Know,Marc Anthony,1970-01-01 00:00:00.000002000,0.8130000000000001,0.949,0.792,0.486
Get It On Tonite,Montell Jordan,1970-01-01 00:00:00.000002000,0.807,0.498,0.857,0.259
Incomplete,Sisqó,1970-01-01 00:00:00.000002000,0.746,0.443,0.272,0.282
I Try,Macy Gray,1970-01-01 00:00:00.000002000,0.593,0.642,0.736,0.313
