track_name,artist_name,danceability,energy,valence,acousticness,year
Say So,Doja Cat,0.787,0.673,0.779,0.264,2020
Blinding Lights,The Weeknd,0.514,0.73,0.334,0.00146,2020
Supalonely (feat. Gus Dapperton),BENEE,0.862,0.631,0.841,0.291,2020
Savage,Megan Thee Stallion,0.843,0.741,0.68,0.0252,2020
Moral of the Story,Ashe,0.572,0.406,0.265,0.587,2020
Rain On Me (with Ariana Grande),Lady Gaga,0.672,0.855,0.646,0.021,2020
Babylon,Lady Gaga,0.698,0.799,0.351,0.0129,2020
Replay,Lady Gaga,0.658,0.878,0.683,0.00792,2020
My Oh My (feat. DaBaby),Camila Cabello,0.724,0.491,0.383,0.018,2020
Physical,Dua Lipa,0.647,0.844,0.746,0.0137,2020
Glitter,BENEE,0.801,0.589,0.58,0.0863,2020
Put Your Records On,Ritt Momney,0.399,0.491,0.151,0.0563,2020
Stuck with U (with Justin Bieber),Ariana Grande,0.597,0.45,0.537,0.223,2020
Break My Heart,Dua Lipa,0.73,0.729,0.467,0.167,2020
Selfish,Madison Beer,0.375,0.461,0.233,0.627,2020
LEMONS - Demo,Brye,0.501,0.168,0.514,0.901,2020
The Less I Know The Better,Tame Impala,0.64,0.74,0.785,0.0115,2020
Buttercup,Jack Stauber,0.705,0.373,0.551,0.723,2020
Dissolve,Absofacto,0.688,0.582,0.872,0.23,2020
Sunday Best,Surfaces,0.878,0.525,0.694,0.183,2020
Airplane Mode,Limbo,0.665,0.373,0.07,0.852,2020
Chinese New Year,SALES,0.744,0.845,0.749,0.759,2020
LMK,Lil Xxel,0.748,0.457,0.464,0.0292,2020
Why Is Everything Chrome (Lean Swag Rock Wit It),King Critical,0.915,0.392,0.675,0.112,2020
Figure It Out,Blu DeTiger,0.747,0.554,0.585,0.493,2020
They Call Me Tiago (Her Name Is Margo),Tiagz,0.878,0.578,0.148,0.196,2020
My Heart Went Oops,Tiagz,0.96,0.412,0.49,0.119,2020
